PRIMARIO,FUERA DE SERVICIO,REPOSICION,TIPO DE EVENTO,ESTADO DEL CLIMA,OBSERVACION,BARRIOS
SMI4,16/04/2020 20:53,16/04/2020 21:24,Accidental,Normal,No establecido.,Mcal F. S. López.
SMI5,6/04/2020 04:14,6/04/2020 04:42,Accidental,Adverso,Condiciones climáticas adversas.,"Las Mercedes, Ciudad Nueva."
VAU3,2/04/2020 15:28,Recierre,Accidental,Normal,No establecido.,"Villa Aurelia, San Pablo."
VAU4,13/04/2020 17:29,Recierre,Accidental,Normal,No establecido.,"Los Laureles, Nazaret, Recoleta, Tembetary."
VAU4,24/04/2020 12:18,24/04/2020 12:57,Producción,Normal,"Fuera de servicio TR-05 y TR-06 ES-VAU. Ratóndentro de la Celda.","Los Laureles, Nazaret, Recoleta, Tembetary."
VAU4,24/04/2020 13:21,24/04/2020 15:47,Producción,Normal,"Abierto Interruptor, para efectuar limpieza.","Los Laureles, Nazaret, Recoleta, Tembetary."
VAU4,28/04/2020 08:55,Recierre,Accidental,Normal,No establecido.,"Los Laureles, Nazaret, Recoleta, Tembetary."
VAU5,24/04/2020 12:18,24/04/2020 13:30,Producción,Normal,"Fuera de servicio TR-05 y TR-06 ES-VAU. Ratóndentro de la Celda. Transferencia sobre VAU3.","Hipódromo, Mcal. José F. Estigarribia, VillaAurelia."
VAU6,24/04/2020 12:18,24/04/2020 13:50,Producción,Normal,"Fuera de servicio TR-05 y TR-06 ES-VAU. Ratóndentro de la Celda. Transferencia sobre VAU10.",Mcal. Estigarribia.
VAU8,24/04/2020 12:18,24/04/2020 13:30,Producción,Normal,"Fuera de servicio TR-05 y TR-06 ES-VAU. Ratóndentro de la Celda. Transferencia sobre VAU11.",Villa Aurelia.
