PRIMARIO,FUERA DE SERVICIO,REPOSICION,TIPO DE EVENTO,ESTADO DEL CLIMA,OBSERVACION,BARRIO,DURACION,DURACION SEGS
BPA6,2/12/2020 21:16,2/12/2020 21:39,Accidental,Normal,No establecido.,Itay,0 days 00:23:00,1380
BPA6,2/12/2020 21:16,2/12/2020 21:39,Accidental,Normal,No establecido.,Ykua Sati,0 days 00:23:00,1380
BPA6,2/12/2020 21:16,2/12/2020 21:39,Accidental,Normal,No establecido.,San Jorge,0 days 00:23:00,1380
BPA6,13/12/2020 18:14,13/12/2020 19:59,Accidental,Adverso,Condiciones Climáticas Adversas.,Itay,0 days 01:45:00,6300
BPA6,13/12/2020 18:14,13/12/2020 19:59,Accidental,Adverso,Condiciones Climáticas Adversas.,Ykua Sati,0 days 01:45:00,6300
BPA6,13/12/2020 18:14,13/12/2020 19:59,Accidental,Adverso,Condiciones Climáticas Adversas.,San Jorge,0 days 01:45:00,6300
BPA6,13/12/2020 20:15,13/12/2020 20:52,Accidental,Adverso,Abierto interruptor  para efectuar reparación de
puente MT suelto F3. SLT N° 51261. Reparación en
forma provisoria.,Itay,0 days 00:37:00,2220
BPA6,13/12/2020 20:15,13/12/2020 20:52,Accidental,Adverso,Abierto interruptor  para efectuar reparación de
puente MT suelto F3. SLT N° 51261. Reparación en
forma provisoria.,Ykua Sati,0 days 00:37:00,2220
BPA6,13/12/2020 20:15,13/12/2020 20:52,Accidental,Adverso,Abierto interruptor  para efectuar reparación de
puente MT suelto F3. SLT N° 51261. Reparación en
forma provisoria.,San Jorge,0 days 00:37:00,2220
BPA7,24/12/2020 05:32,24/12/2020 06:05,Accidental,Normal,Incendio en la Celda 23kV. Transferencia sobre
BPA2.,San Cristóbal,0 days 00:33:00,1980
BPA7,24/12/2020 05:32,24/12/2020 06:05,Accidental,Normal,Incendio en la Celda 23kV. Transferencia sobre
BPA2.,Villa Morra,0 days 00:33:00,1980
BPA7,24/12/2020 05:32,24/12/2020 06:05,Accidental,Normal,Incendio en la Celda 23kV. Transferencia sobre
BPA2.,Ykua Sati,0 days 00:33:00,1980
CEN3,27/12/2020 01:30,27/12/2020 03:13,Accidental,Normal,Tramo subterráneo averiado. Primer tramo.,La Catedral,0 days 01:43:00,6180
CEN3,27/12/2020 01:30,27/12/2020 03:13,Accidental,Normal,Tramo subterráneo averiado. Primer tramo.,La Encarnación,0 days 01:43:00,6180
CEN4,1/12/2020 17:40,1/12/2020 17:42,Accidental,Normal,Al efectuar maniobras.,La Encarnación,0 days 00:02:00,120
CEN6,19/12/2020 18:58,19/12/2020 19:49,Accidental,Normal,Agua en PD. Edificio Libster.,La Encarnación,0 days 00:51:00,3060
CEN6,19/12/2020 18:58,19/12/2020 19:49,Accidental,Normal,Agua en PD. Edificio Libster.,La Catedral,0 days 00:51:00,3060
FDM2,16/12/2020 15:54,16/12/2020 17:54,Accidental,Normal,No establecido.,San Pablo,0 days 02:00:00,7200
FDM3,26/12/2020 21:30,26/12/2020 22:44,Accidental,Normal,Columna inclinada.,San Pablo,0 days 01:14:00,4440
FDM3,30/12/2020 04:43,30/12/2020 04:53,Accidental,Normal,Puente MT suelto. Acometida a Pechugón.,San Pablo,0 days 00:10:00,600
FDM3,30/12/2020 08:40,30/12/2020 08:48,Accidental,Normal,Abierto interruptor para efectuar reparación de
puente MT suelto. Dentro del Mercado de Abasto.,San Pablo,0 days 00:08:00,480
GDI1,13/12/2020 09:54,13/12/2020 09:55,Accidental,Adverso,Al efectuar maniobras.,Gral. J. E Diaz,0 days 00:01:00,60
GDI1,13/12/2020 09:54,13/12/2020 09:55,Accidental,Adverso,Al efectuar maniobras.,Obrero,0 days 00:01:00,60
GDI1,16/12/2020 08:19,16/12/2020 08:47,Accidental,Normal,No establecido.,Gral. J. E Diaz,0 days 00:28:00,1680
GDI1,16/12/2020 08:19,16/12/2020 08:47,Accidental,Normal,No establecido.,Obrero,0 days 00:28:00,1680
GDI2,4/12/2020 10:05,4/12/2020 11:25,Accidental,Normal,No establecido.,Gral. J. E Diaz,0 days 01:20:00,4800
GDI2,4/12/2020 10:05,4/12/2020 11:25,Accidental,Normal,No establecido.,Obrero,0 days 01:20:00,4800
GDI3,4/12/2020 10:05,4/12/2020 11:10,Accidental,Normal,No establecido.,Gral. J. E Diaz,0 days 01:05:00,3900
GDI3,17/12/2020 07:28,17/12/2020 07:30,Accidental,Normal,Al efectuar maniobras.,Gral. J. E Diaz,0 days 00:02:00,120
GDI4,24/12/2020 13:31,24/12/2020 14:00,Accidental,Normal,No establecido.,Obrero,0 days 00:29:00,1740
GDI4,24/12/2020 13:31,24/12/2020 14:00,Accidental,Normal,No establecido.,Dr. Roberto L. Petit,0 days 00:29:00,1740
GDI4,24/12/2020 13:31,24/12/2020 14:00,Accidental,Normal,No establecido.,Bañado Tacumbu,0 days 00:29:00,1740
LAM10,31/12/2020 07:21,31/12/2020 07:38,Accidental,Normal,No establecido.,Terminal,0 days 00:17:00,1020
LAM15,2/12/2020 19:46,2/12/2020 19:49,Accidental,Normal,Al efectuar maniobras.,Itá Enramada,0 days 00:03:00,180
