PRIMARIO,FUERA DE SERVICIO,REPOSICION,TIPO DE EVENTO,ESTADO DEL CLIMA,OBSERVACION,BARRIO,DURACION,DURACION SEGS
VAU1,8/07/2020 06:43,8/07/2020 07:52,Accidental,Normal,Transformador N° 72111 averiado. Línea MT en C.C. Tte. Solis c/ Cruz de la Sierra.,Hipódromo,0 days 01:09:00,4140
VAU1,8/07/2020 06:43,8/07/2020 07:52,Accidental,Normal,Transformador N° 72111 averiado. Línea MT en C.C. Tte. Solis c/ Cruz de la Sierra.,Tembetary,0 days 01:09:00,4140
VAU1,8/07/2020 08:21,8/07/2020 08:24,Accidental,Normal,Al efectuar maniobras.,Los Laureles,0 days 00:03:00,180
VAU1,8/07/2020 08:21,8/07/2020 08:24,Accidental,Normal,Al efectuar maniobras.,Mcal. Estigarribia,0 days 00:03:00,180
VAU1,8/07/2020 08:21,8/07/2020 08:24,Accidental,Normal,Al efectuar maniobras.,Hipódromo,0 days 00:03:00,180
VAU1,8/07/2020 08:21,8/07/2020 08:24,Accidental,Normal,Al efectuar maniobras.,Tembetary,0 days 00:03:00,180
VAU1,8/07/2020 11:45,8/07/2020 11:55,Programado,Normal,Abierto interruptor para efectuar reparación de puente MT. Tte. Solís y Santacruz de la Sierra.,Los Laureles,0 days 00:10:00,600
VAU1,8/07/2020 11:45,8/07/2020 11:55,Programado,Normal,Abierto interruptor para efectuar reparación de puente MT. Tte. Solís y Santacruz de la Sierra.,Mcal. Estigarribia,0 days 00:10:00,600
VAU1,8/07/2020 11:45,8/07/2020 11:55,Programado,Normal,Abierto interruptor para efectuar reparación de puente MT. Tte. Solís y Santacruz de la Sierra.,Hipódromo,0 days 00:10:00,600
VAU1,8/07/2020 11:45,8/07/2020 11:55,Programado,Normal,Abierto interruptor para efectuar reparación de puente MT. Tte. Solís y Santacruz de la Sierra.,Tembetary,0 days 00:10:00,600
VAU14,18/07/2020 17:43,18/07/2020 19:43,Accidental,Normal,Gotera en PD. BP544. Rca. Argentina y Lapacho.,Villa Aurelia,0 days 02:00:00,7200
VAU14,18/07/2020 17:43,18/07/2020 19:43,Accidental,Normal,Gotera en PD. BP544. Rca. Argentina y Lapacho.,Los Laureles,0 days 02:00:00,7200
VAU14,18/07/2020 17:43,18/07/2020 19:43,Accidental,Normal,Gotera en PD. BP544. Rca. Argentina y Lapacho.,Hipódromo,0 days 02:00:00,7200
VAU14,18/07/2020 17:44,18/07/2020 18:59,Accidental,Normal,Gotera en PD. BP544. Rca. Argentina y Lapacho.,Villa Aurelia,0 days 01:15:00,4500
VAU14,18/07/2020 17:44,18/07/2020 18:59,Accidental,Normal,Gotera en PD. BP544. Rca. Argentina y Lapacho.,Los Laureles,0 days 01:15:00,4500
VAU14,18/07/2020 17:44,18/07/2020 18:59,Accidental,Normal,Gotera en PD. BP544. Rca. Argentina y Lapacho.,Hipódromo,0 days 01:15:00,4500
VAU14,18/07/2020 21:22,18/07/2020 21:24,Programado,Normal,"Abierto Interruptor, para efectuar maniobras.",Villa Aurelia,0 days 00:02:00,120
VAU14,18/07/2020 21:22,18/07/2020 21:24,Programado,Normal,"Abierto Interruptor, para efectuar maniobras.",Los Laureles,0 days 00:02:00,120
VAU14,18/07/2020 21:22,18/07/2020 21:24,Programado,Normal,"Abierto Interruptor, para efectuar maniobras.",Hipódromo,0 days 00:02:00,120
