,PRIMARIO,FUERA DE SERVICIO,REPOSICION,TIPO DE EVENTO,ESTADO DEL CLIMA,OBSERVACION,BARRIO,DURACION,DURACION SEGS
2,BPA10,14/11/2020 20:57,14/11/2020 22:57,Accidental,Adverso,Condiciones Climaticas Adversas,Santa María,0 days 02:00:00,7200
0,BPA10,23/11/2020 15:17,23/11/2020 17:17,Accidental,Normal,No establecido.,Luis Alberto de Herrera,0 days 02:00:00,7200
1,BPA10,23/11/2020 15:17,23/11/2020 17:17,Accidental,Normal,No establecido.,San Cristóbal,0 days 02:00:00,7200
2,BPA10,23/11/2020 15:17,23/11/2020 17:17,Accidental,Normal,No establecido.,Santa María,0 days 02:00:00,7200
0,BPA12,5/11/2020 07:26,5/11/2020 07:37,Accidental,Normal,No establecido.,Salvador del Mundo,0 days 00:11:00,660
1,BPA12,5/11/2020 07:26,5/11/2020 07:37,Accidental,Normal,No establecido.,San Cristóbal,0 days 00:11:00,660
2,BPA12,5/11/2020 07:26,5/11/2020 07:37,Accidental,Normal,No establecido.,San Jorge,0 days 00:11:00,660
0,BPA12,8/11/2020 08:52,8/11/2020 09:28,Accidental,Normal,Puente MT Suelto F2. Portillo y Zubizarreta.,Salvador del Mundo,0 days 00:36:00,2160
1,BPA12,8/11/2020 08:52,8/11/2020 09:28,Accidental,Normal,Puente MT Suelto F2. Portillo y Zubizarreta.,San Cristóbal,0 days 00:36:00,2160
2,BPA12,8/11/2020 08:52,8/11/2020 09:28,Accidental,Normal,Puente MT Suelto F2. Portillo y Zubizarreta.,San Jorge,0 days 00:36:00,2160
0,BPA12,8/11/2020 10:55,08/11/2020 12:55,Accidental,Normal,No establecido.,Salvador del Mundo,0 days 02:00:00,7200
1,BPA12,8/11/2020 10:55,08/11/2020 12:55,Accidental,Normal,No establecido.,San Cristóbal,0 days 02:00:00,7200
2,BPA12,8/11/2020 10:55,08/11/2020 12:55,Accidental,Normal,No establecido.,San Jorge,0 days 02:00:00,7200
0,BPA12,8/11/2020 13:31,8/11/2020 13:43,Accidental,Normal,Puente MT Suelto F2. Portillo y Zubizarreta.,Salvador del Mundo,0 days 00:12:00,720
1,BPA12,8/11/2020 13:31,8/11/2020 13:43,Accidental,Normal,Puente MT Suelto F2. Portillo y Zubizarreta.,San Cristóbal,0 days 00:12:00,720
2,BPA12,8/11/2020 13:31,8/11/2020 13:43,Accidental,Normal,Puente MT Suelto F2. Portillo y Zubizarreta.,San Jorge,0 days 00:12:00,720
0,BPA12,14/11/2020 21:15,14/11/2020 23:15,Accidental,Adverso,Condiciones Climaticas Adversas,Salvador del Mundo,0 days 02:00:00,7200
1,BPA12,14/11/2020 21:15,14/11/2020 23:15,Accidental,Adverso,Condiciones Climaticas Adversas,San Cristóbal,0 days 02:00:00,7200
2,BPA12,14/11/2020 21:15,14/11/2020 23:15,Accidental,Adverso,Condiciones Climaticas Adversas,San Jorge,0 days 02:00:00,7200
0,BPA12,26/11/2020 07:27,26/11/2020 09:27,Accidental,Adverso,Condiciones Climáticas Adversas.,Salvador del Mundo,0 days 02:00:00,7200
1,BPA12,26/11/2020 07:27,26/11/2020 09:27,Accidental,Adverso,Condiciones Climáticas Adversas.,San Cristóbal,0 days 02:00:00,7200
2,BPA12,26/11/2020 07:27,26/11/2020 09:27,Accidental,Adverso,Condiciones Climáticas Adversas.,San Jorge,0 days 02:00:00,7200
0,BPA12,30/11/2020 07:21,30/11/2020 08:14,Accidental,Adverso,Cruceta MT rota. Eloy Paez e/ Perinciolo Merlo ySantisima Trinidad.,Salvador del Mundo,0 days 00:53:00,3180
1,BPA12,30/11/2020 07:21,30/11/2020 08:14,Accidental,Adverso,Cruceta MT rota. Eloy Paez e/ Perinciolo Merlo ySantisima Trinidad.,San Cristóbal,0 days 00:53:00,3180
2,BPA12,30/11/2020 07:21,30/11/2020 08:14,Accidental,Adverso,Cruceta MT rota. Eloy Paez e/ Perinciolo Merlo ySantisima Trinidad.,San Jorge,0 days 00:53:00,3180
0,BPA12,30/11/2020 09:26,30/11/2020 09:31,Accidental,Adverso,,Salvador del Mundo,0 days 00:05:00,300
1,BPA12,30/11/2020 09:26,30/11/2020 09:31,Accidental,Adverso,,San Cristóbal,0 days 00:05:00,300
2,BPA12,30/11/2020 09:26,30/11/2020 09:31,Accidental,Adverso,,San Jorge,0 days 00:05:00,300
0,BPA3,14/11/2020 21:26,15/11/2020 04:28,Accidental,Adverso,Condiciones Climaticas Adversas En Servicio Parcial.,San Cristóbal,0 days 07:02:00,25320
1,BPA3,14/11/2020 21:26,15/11/2020 04:28,Accidental,Adverso,Condiciones Climaticas Adversas En Servicio Parcial.,Mcal. Estigarribia,0 days 07:02:00,25320
0,BPA3,15/11/2020 04:57,15/11/2020 05:03,Accidental,Adverso,Condiciones Climaticas Adversas,San Cristóbal,0 days 00:06:00,360
1,BPA3,15/11/2020 04:57,15/11/2020 05:03,Accidental,Adverso,Condiciones Climaticas Adversas,Mcal. Estigarribia,0 days 00:06:00,360
0,BPA3,15/11/2020 10:53,16/11/2020 00:50,Accidental,Adverso,Al efectuar maniobras.,San Cristóbal,0 days 13:57:00,50220
1,BPA3,15/11/2020 10:53,16/11/2020 00:50,Accidental,Adverso,Al efectuar maniobras.,Mcal. Estigarribia,0 days 13:57:00,50220
0,BPA5,9/11/2020 02:59,09/11/2020 04:59,Accidental,Normal,No establecido.,San Cristóbal,0 days 02:00:00,7200
1,BPA5,9/11/2020 02:59,09/11/2020 04:59,Accidental,Normal,No establecido.,Recoleta,0 days 02:00:00,7200
0,BPA5,9/11/2020 09:20,9/11/2020 09:40,Accidental,Normal,Abierto interruptor para reparar seccionador fusible..En Andrade y San Martín.,San Cristóbal,0 days 00:20:00,1200
1,BPA5,9/11/2020 09:20,9/11/2020 09:40,Accidental,Normal,Abierto interruptor para reparar seccionador fusible..En Andrade y San Martín.,Recoleta,0 days 00:20:00,1200
0,BPA5,14/11/2020 21:15,14/11/2020 23:24,Accidental,Adverso,Puente MT Suelto. Andrade y Ohiggins.,San Cristóbal,0 days 02:09:00,7740
1,BPA5,14/11/2020 21:15,14/11/2020 23:24,Accidental,Adverso,Puente MT Suelto. Andrade y Ohiggins.,Recoleta,0 days 02:09:00,7740
0,BPA5,14/11/2020 23:24,15/11/2020 01:43,Accidental,Adverso,Al efectuar maniobras.,San Cristóbal,0 days 02:19:00,8340
1,BPA5,14/11/2020 23:24,15/11/2020 01:43,Accidental,Adverso,Al efectuar maniobras.,Recoleta,0 days 02:19:00,8340
0,BPA6,14/11/2020 20:57,15/11/2020 12:17,Accidental,Adverso,Condiciones Climáticas Adversas.,Itay,0 days 15:20:00,55200
1,BPA6,14/11/2020 20:57,15/11/2020 12:17,Accidental,Adverso,Condiciones Climáticas Adversas.,Ykua Sati,0 days 15:20:00,55200
2,BPA6,14/11/2020 20:57,15/11/2020 12:17,Accidental,Adverso,Condiciones Climáticas Adversas.,San Jorge,0 days 15:20:00,55200
0,BPA6,24/11/2020 11:39,24/11/2020 11:54,Accidental,Normal,No establecido.,Itay,0 days 00:15:00,900
1,BPA6,24/11/2020 11:39,24/11/2020 11:54,Accidental,Normal,No establecido.,Ykua Sati,0 days 00:15:00,900
2,BPA6,24/11/2020 11:39,24/11/2020 11:54,Accidental,Normal,No establecido.,San Jorge,0 days 00:15:00,900
0,BPA6,24/11/2020 13:13,24/11/2020 14:09,Accidental,Normal,Línea MT suelta. Caballero Alvarez y Troche.,Itay,0 days 00:56:00,3360
1,BPA6,24/11/2020 13:13,24/11/2020 14:09,Accidental,Normal,Línea MT suelta. Caballero Alvarez y Troche.,Ykua Sati,0 days 00:56:00,3360
2,BPA6,24/11/2020 13:13,24/11/2020 14:09,Accidental,Normal,Línea MT suelta. Caballero Alvarez y Troche.,San Jorge,0 days 00:56:00,3360
0,BPA6,26/11/2020 06:25,26/11/2020 12:51,Accidental,Adverso,Condiciones Climáticas Adversas.,Itay,0 days 06:26:00,23160
1,BPA6,26/11/2020 06:25,26/11/2020 12:51,Accidental,Adverso,Condiciones Climáticas Adversas.,Ykua Sati,0 days 06:26:00,23160
2,BPA6,26/11/2020 06:25,26/11/2020 12:51,Accidental,Adverso,Condiciones Climáticas Adversas.,San Jorge,0 days 06:26:00,23160
0,BPA7,14/11/2020 21:12,14/11/2020 22:29,Accidental,Adverso,Condiciones Climaticas Adversas,San Cristóbal,0 days 01:17:00,4620
1,BPA7,14/11/2020 21:12,14/11/2020 22:29,Accidental,Adverso,Condiciones Climaticas Adversas,Villa Morra,0 days 01:17:00,4620
2,BPA7,14/11/2020 21:12,14/11/2020 22:29,Accidental,Adverso,Condiciones Climaticas Adversas,Ykua Sati,0 days 01:17:00,4620
0,BPA7,25/11/2020 10:29,25/11/2020 11:54,Accidental,Normal,Ramas sobre línea MT. Benitez Vera y Lilio.,San Cristóbal,0 days 01:25:00,5100
1,BPA7,25/11/2020 10:29,25/11/2020 11:54,Accidental,Normal,Ramas sobre línea MT. Benitez Vera y Lilio.,Villa Morra,0 days 01:25:00,5100
2,BPA7,25/11/2020 10:29,25/11/2020 11:54,Accidental,Normal,Ramas sobre línea MT. Benitez Vera y Lilio.,Ykua Sati,0 days 01:25:00,5100
0,BPA8,8/11/2020 08:43,8/11/2020 08:56,Accidental,Normal,No establecido.,Villa Morra,0 days 00:13:00,780
0,BPA8,8/11/2020 13:42,8/11/2020 13:56,Accidental,Normal,Abierto Interruptor. Línea MT Suelta F1. Ramassobre Línea MT Lillio y Gral. Genes.,Villa Morra,0 days 00:14:00,840
0,BPA8,15/11/2020 00:05,15/11/2020 00:06,Accidental,Adverso,Al efectuar maniobras.,Villa Morra,0 days 00:01:00,60
0,BPA8,26/11/2020 06:56,26/11/2020 14:08,Accidental,Adverso,Condiciones Climáticas Adversas.,Villa Morra,0 days 07:12:00,25920
0,BPA8,26/11/2020 14:10,26/11/2020 15:05,Accidental,Adverso,Puente MT suelto y SFT averiado. Del Maestro yCasiamoff.,Villa Morra,0 days 00:55:00,3300
0,BPA8,26/11/2020 15:13,26/11/2020 17:13,Accidental,Adverso,Condiciones Climáticas Adversas.,Villa Morra,0 days 02:00:00,7200
0,CEN4,14/11/2020 22:13,15/11/2020 00:13,Accidental,Adverso,Condiciones Climaticas Adversas,La Encarnación,0 days 02:00:00,7200
0,FDM2,14/11/2020 20:53,14/11/2020 22:33,Accidental,Adverso,Condiciones Climaticas Adversas,San Pablo,0 days 01:40:00,6000
0,FDM3,8/11/2020 13:11,8/11/2020 14:25,Accidental,Normal,Línea MT en cortocircuito. Chiripa y Tte. Ramírez.,San Pablo,0 days 01:14:00,4440
0,FDM3,9/11/2020 03:19,9/11/2020 03:39,Accidental,Normal,No establecido.,San Pablo,0 days 00:20:00,1200
0,FDM3,9/11/2020 03:42,9/11/2020 04:27,Accidental,Normal,Ramas sobre línea MT. Predio del Mercado deAbasto.,San Pablo,0 days 00:45:00,2700
0,FDM3,25/11/2020 16:09,25/11/2020 16:12,Programado,Normal,Abierto interruptor para efectuar maniobras.,San Pablo,0 days 00:03:00,180
0,FDM3,26/11/2020 08:00,26/11/2020 10:52,Accidental,Adverso,Ramas sobre línea MT y sostén MT averiado.Ñanduti y Chiripá.Seccionador N°54288 averiado.,San Pablo,0 days 02:52:00,10320
0,FDM3,26/11/2020 11:33,26/11/2020 11:35,Programado,Adverso,Abierto interruptor para efectuar maniobras.,San Pablo,0 days 00:02:00,120
0,GDI1,14/11/2020 21:07,15/11/2020 12:54,Accidental,Adverso,Línea Mt suelta. F2. Entre EE.UU y Brasil En ServicioParcial.,Gral. J. E Diaz,0 days 15:47:00,56820
1,GDI1,14/11/2020 21:07,15/11/2020 12:54,Accidental,Adverso,Línea Mt suelta. F2. Entre EE.UU y Brasil En ServicioParcial.,Obrero,0 days 15:47:00,56820
0,GDI1,15/11/2020 12:57,15/11/2020 13:00,Accidental,Adverso,Al efectuar maniobras.,Gral. J. E Diaz,0 days 00:03:00,180
1,GDI1,15/11/2020 12:57,15/11/2020 13:00,Accidental,Adverso,Al efectuar maniobras.,Obrero,0 days 00:03:00,180
0,GDI1,24/11/2020 08:34,24/11/2020 09:38,Accidental,Normal,No establecido.,Gral. J. E Diaz,0 days 01:04:00,3840
1,GDI1,24/11/2020 08:34,24/11/2020 09:38,Accidental,Normal,No establecido.,Obrero,0 days 01:04:00,3840
0,GDI1,27/11/2020 08:09,27/11/2020 10:09,Accidental,Adverso,,Gral. J. E Diaz,0 days 02:00:00,7200
1,GDI1,27/11/2020 08:09,27/11/2020 10:09,Accidental,Adverso,,Obrero,0 days 02:00:00,7200
0,GDI1,28/11/2020 23:25,29/11/2020 01:25,Accidental,Normal,No establecido.,Gral. J. E Diaz,0 days 02:00:00,7200
1,GDI1,28/11/2020 23:25,29/11/2020 01:25,Accidental,Normal,No establecido.,Obrero,0 days 02:00:00,7200
0,GDI1,28/11/2020 23:55,29/11/2020 00:00,Accidental,Normal,Abierto Interruptor para efectuar desague de PD. PS413. Quedó abierto SFT en 6ta. Proyectada y EE.UU.,Gral. J. E Diaz,0 days 00:05:00,300
1,GDI1,28/11/2020 23:55,29/11/2020 00:00,Accidental,Normal,Abierto Interruptor para efectuar desague de PD. PS413. Quedó abierto SFT en 6ta. Proyectada y EE.UU.,Obrero,0 days 00:05:00,300
0,GDI2,14/11/2020 21:08,15/11/2020 10:03,Accidental,Adverso,Línea MT Suelta por árbol caído. 13 Proyectadas e/Chile y Alberdi.,Gral. J. E Diaz,0 days 12:55:00,46500
1,GDI2,14/11/2020 21:08,15/11/2020 10:03,Accidental,Adverso,Línea MT Suelta por árbol caído. 13 Proyectadas e/Chile y Alberdi.,Obrero,0 days 12:55:00,46500
0,GDI2,15/11/2020 11:19,15/11/2020 11:21,Accidental,Adverso,Al efectuar maniobras. En Servicio Parcial.,Gral. J. E Diaz,0 days 00:02:00,120
1,GDI2,15/11/2020 11:19,15/11/2020 11:21,Accidental,Adverso,Al efectuar maniobras. En Servicio Parcial.,Obrero,0 days 00:02:00,120
0,GDI2,15/11/2020 14:55,15/11/2020 14:58,Accidental,Adverso,Condiciones Climáticas Adversas.,Gral. J. E Diaz,0 days 00:03:00,180
1,GDI2,15/11/2020 14:55,15/11/2020 14:58,Accidental,Adverso,Condiciones Climáticas Adversas.,Obrero,0 days 00:03:00,180
0,GDI2,18/11/2020 14:37,18/11/2020 15:53,Accidental,Normal,Árbol caido sobre línea MT y sostén averiado. 3ra. yNuestra Señora.,Gral. J. E Diaz,0 days 01:16:00,4560
1,GDI2,18/11/2020 14:37,18/11/2020 15:53,Accidental,Normal,Árbol caido sobre línea MT y sostén averiado. 3ra. yNuestra Señora.,Obrero,0 days 01:16:00,4560
0,GDI2,23/11/2020 12:00,23/11/2020 12:12,Accidental,Normal,Abierto interruptor para efectuar reparación de SLTN°54041 averiado.,Gral. J. E Diaz,0 days 00:12:00,720
1,GDI2,23/11/2020 12:00,23/11/2020 12:12,Accidental,Normal,Abierto interruptor para efectuar reparación de SLTN°54041 averiado.,Obrero,0 days 00:12:00,720
0,GDI2,30/11/2020 04:25,30/11/2020 05:15,Accidental,Adverso,Condiciones Climáticas Adversas.,Gral. J. E Diaz,0 days 00:50:00,3000
1,GDI2,30/11/2020 04:25,30/11/2020 05:15,Accidental,Adverso,Condiciones Climáticas Adversas.,Obrero,0 days 00:50:00,3000
0,GDI4,14/11/2020 21:08,15/11/2020 04:29,Accidental,Adverso,Línea MT Suelta en Akajuaza y Tacuari. Ramassobre Línea MT en 24 Proyectadas y EEUU.,Obrero,0 days 07:21:00,26460
1,GDI4,14/11/2020 21:08,15/11/2020 04:29,Accidental,Adverso,Línea MT Suelta en Akajuaza y Tacuari. Ramassobre Línea MT en 24 Proyectadas y EEUU.,Dr. Roberto L. Petit,0 days 07:21:00,26460
2,GDI4,14/11/2020 21:08,15/11/2020 04:29,Accidental,Adverso,Línea MT Suelta en Akajuaza y Tacuari. Ramassobre Línea MT en 24 Proyectadas y EEUU.,Bañado Tacumbu,0 days 07:21:00,26460
0,GDI4,15/11/2020 04:57,15/11/2020 04:59,Accidental,Adverso,Al efectuar maniobras.,Obrero,0 days 00:02:00,120
1,GDI4,15/11/2020 04:57,15/11/2020 04:59,Accidental,Adverso,Al efectuar maniobras.,Dr. Roberto L. Petit,0 days 00:02:00,120
2,GDI4,15/11/2020 04:57,15/11/2020 04:59,Accidental,Adverso,Al efectuar maniobras.,Bañado Tacumbu,0 days 00:02:00,120
0,GDI4,15/11/2020 05:20,15/11/2020 05:22,Accidental,Adverso,Al efectuar maniobras.,Obrero,0 days 00:02:00,120
1,GDI4,15/11/2020 05:20,15/11/2020 05:22,Accidental,Adverso,Al efectuar maniobras.,Dr. Roberto L. Petit,0 days 00:02:00,120
2,GDI4,15/11/2020 05:20,15/11/2020 05:22,Accidental,Adverso,Al efectuar maniobras.,Bañado Tacumbu,0 days 00:02:00,120
0,GDI4,15/11/2020 19:36,15/11/2020 19:54,Accidental,Adverso,Al efectuar maniobras.,Obrero,0 days 00:18:00,1080
1,GDI4,15/11/2020 19:36,15/11/2020 19:54,Accidental,Adverso,Al efectuar maniobras.,Dr. Roberto L. Petit,0 days 00:18:00,1080
2,GDI4,15/11/2020 19:36,15/11/2020 19:54,Accidental,Adverso,Al efectuar maniobras.,Bañado Tacumbu,0 days 00:18:00,1080
0,LAM10,9/11/2020 04:00,9/11/2020 04:39,Accidental,Normal,Condiciones climáticas adversas.,Terminal,0 days 00:39:00,2340
0,LAM10,14/11/2020 20:52,14/11/2020 23:49,Accidental,Adverso,Condiciones Climáticas Adversas.,Terminal,0 days 02:57:00,10620
0,LAM10,25/11/2020 11:18,25/11/2020 11:40,Accidental,Normal,No establecido. No establecido.,Terminal,0 days 00:22:00,1320
0,LAM10,25/11/2020 12:04,25/11/2020 12:30,Accidental,Normal,Línea MT suelta. Héctor Velázquez e/ Alto Paraguayy De Gasperi.,Terminal,0 days 00:26:00,1560
0,LAM15,14/11/2020 21:07,14/11/2020 21:20,Producción,Adverso,Fuera de Servicio TR-01 y TR-02. ES-LAM. Afectó aSE-REP.,Itá Enramada,0 days 00:13:00,780
0,LAM22,8/11/2020 10:48,8/11/2020 10:56,Programado,Normal,Abierto interruptor para efectuar retiro de rama sobrelínea MT y reposición de fusible operado. Rca.Argentina y Alejo García.,Hipódromo,0 days 00:08:00,480
1,LAM22,8/11/2020 10:48,8/11/2020 10:56,Programado,Normal,Abierto interruptor para efectuar retiro de rama sobrelínea MT y reposición de fusible operado. Rca.Argentina y Alejo García.,Terminal,0 days 00:08:00,480
