PRIMARIO,FUERA DE SERVICIO,REPOSICION,TIPO DE EVENTO,ESTADO DEL CLIMA,OBSERVACION,BARRIO,DURACION,DURACION SEGS
PSA7,24/08/2020 12:27,24/08/2020 13:03,Accidental,Normal,Drone en contacto con línea MT. 23 Proyectadas e/
México y Antequera.,Bañado Tacumbu,0 days 00:36:00,2160
PSA7,24/08/2020 12:27,24/08/2020 13:03,Accidental,Normal,Drone en contacto con línea MT. 23 Proyectadas e/
México y Antequera.,Carlos A. López,0 days 00:36:00,2160
REP1,12/08/2020 02:48,12/08/2020 04:48,Accidental,Adverso,Condiciones Climáticas Adversas.,Dr. Roberto L. Petit,0 days 02:00:00,7200
REP3,1/08/2020 08:21,01/08/2020 10:21,Accidental,Normal,No establecido.,San Pablo,0 days 02:00:00,7200
REP3,1/08/2020 08:21,01/08/2020 10:21,Accidental,Normal,No establecido.,Obrero,0 days 02:00:00,7200
REP3,1/08/2020 08:21,01/08/2020 10:21,Accidental,Normal,No establecido.,San Vicente,0 days 02:00:00,7200
REP3,1/08/2020 08:21,01/08/2020 10:21,Accidental,Normal,No establecido.,Republicano,0 days 02:00:00,7200
REP3,1/08/2020 08:21,01/08/2020 10:21,Accidental,Normal,No establecido.,Santa Ana,0 days 02:00:00,7200
REP3,1/08/2020 08:21,01/08/2020 10:21,Accidental,Normal,No establecido.,Jukyty,0 days 02:00:00,7200
REP3,1/08/2020 08:21,01/08/2020 10:21,Accidental,Normal,No establecido.,Santa Librada,0 days 02:00:00,7200
REP3,1/08/2020 08:21,01/08/2020 10:21,Accidental,Normal,No establecido.,Pirizal,0 days 02:00:00,7200
REP3,15/08/2020 10:17,15/08/2020 11:15,Accidental,Normal,Línea MT en C.C por carga elevada. Tte. Sánchez
Leitón y Del Carmen.,San Pablo,0 days 00:58:00,3480
REP3,15/08/2020 10:17,15/08/2020 11:15,Accidental,Normal,Línea MT en C.C por carga elevada. Tte. Sánchez
Leitón y Del Carmen.,Obrero,0 days 00:58:00,3480
REP3,15/08/2020 10:17,15/08/2020 11:15,Accidental,Normal,Línea MT en C.C por carga elevada. Tte. Sánchez
Leitón y Del Carmen.,San Vicente,0 days 00:58:00,3480
REP3,15/08/2020 10:17,15/08/2020 11:15,Accidental,Normal,Línea MT en C.C por carga elevada. Tte. Sánchez
Leitón y Del Carmen.,Republicano,0 days 00:58:00,3480
REP3,15/08/2020 10:17,15/08/2020 11:15,Accidental,Normal,Línea MT en C.C por carga elevada. Tte. Sánchez
Leitón y Del Carmen.,Santa Ana,0 days 00:58:00,3480
REP3,15/08/2020 10:17,15/08/2020 11:15,Accidental,Normal,Línea MT en C.C por carga elevada. Tte. Sánchez
Leitón y Del Carmen.,Jukyty,0 days 00:58:00,3480
REP3,15/08/2020 10:17,15/08/2020 11:15,Accidental,Normal,Línea MT en C.C por carga elevada. Tte. Sánchez
Leitón y Del Carmen.,Santa Librada,0 days 00:58:00,3480
REP3,15/08/2020 10:17,15/08/2020 11:15,Accidental,Normal,Línea MT en C.C por carga elevada. Tte. Sánchez
Leitón y Del Carmen.,Pirizal,0 days 00:58:00,3480
REP5,21/08/2020 07:24,21/08/2020 08:22,Accidental,Normal,"Línea MT protegida averiada, ocasionada por
incendio de ómnibus. Rodríguez de Francia y Pa'i
Pérez.",Tte. Silvio Pettirossi,0 days 00:58:00,3480
REP5,21/08/2020 07:24,21/08/2020 08:22,Accidental,Normal,"Línea MT protegida averiada, ocasionada por
incendio de ómnibus. Rodríguez de Francia y Pa'i
Pérez.",San Vicente,0 days 00:58:00,3480
REP5,21/08/2020 07:24,21/08/2020 08:22,Accidental,Normal,"Línea MT protegida averiada, ocasionada por
incendio de ómnibus. Rodríguez de Francia y Pa'i
Pérez.",Pinoza,0 days 00:58:00,3480
REP6,19/08/2020 18:58,19/08/2020 20:58,Accidental,Normal,No establecido.,San Vicente,0 days 02:00:00,7200
REP6,19/08/2020 18:58,19/08/2020 20:58,Accidental,Normal,No establecido.,Pinoza,0 days 02:00:00,7200
REP6,19/08/2020 18:58,19/08/2020 20:58,Accidental,Normal,No establecido.,Pirizal,0 days 02:00:00,7200
REP6,19/08/2020 19:00,19/08/2020 19:36,Accidental,Normal,No establecido.,San Vicente,0 days 00:36:00,2160
REP6,19/08/2020 19:00,19/08/2020 19:36,Accidental,Normal,No establecido.,Pinoza,0 days 00:36:00,2160
REP6,19/08/2020 19:00,19/08/2020 19:36,Accidental,Normal,No establecido.,Pirizal,0 days 00:36:00,2160
REP6,19/08/2020 21:02,19/08/2020 21:31,Accidental,Normal,No establecido.,San Vicente,0 days 00:29:00,1740
REP6,19/08/2020 21:02,19/08/2020 21:31,Accidental,Normal,No establecido.,Pinoza,0 days 00:29:00,1740
REP6,19/08/2020 21:02,19/08/2020 21:31,Accidental,Normal,No establecido.,Pirizal,0 days 00:29:00,1740
REP6,19/08/2020 22:28,20/08/2020 00:10,Accidental,Normal,Sostén intermedio en contacto con Línea MT. M
Gardell c/ Zorrilla de San Martín.,San Vicente,0 days 01:42:00,6120
REP6,19/08/2020 22:28,20/08/2020 00:10,Accidental,Normal,Sostén intermedio en contacto con Línea MT. M
Gardell c/ Zorrilla de San Martín.,Pinoza,0 days 01:42:00,6120
REP6,19/08/2020 22:28,20/08/2020 00:10,Accidental,Normal,Sostén intermedio en contacto con Línea MT. M
Gardell c/ Zorrilla de San Martín.,Pirizal,0 days 01:42:00,6120
REP6,20/08/2020 00:19,20/08/2020 00:36,Accidental,Normal,No establecido.,San Vicente,0 days 00:17:00,1020
REP6,20/08/2020 00:19,20/08/2020 00:36,Accidental,Normal,No establecido.,Pinoza,0 days 00:17:00,1020
REP6,20/08/2020 00:19,20/08/2020 00:36,Accidental,Normal,No establecido.,Pirizal,0 days 00:17:00,1020
REP6,20/08/2020 01:38,20/08/2020 01:57,Accidental,Normal,No establecido.,San Vicente,0 days 00:19:00,1140
REP6,20/08/2020 01:38,20/08/2020 01:57,Accidental,Normal,No establecido.,Pinoza,0 days 00:19:00,1140
REP6,20/08/2020 01:38,20/08/2020 01:57,Accidental,Normal,No establecido.,Pirizal,0 days 00:19:00,1140
REP6,25/08/2020 10:53,25/08/2020 11:47,Accidental,Normal,Terminal intemperie averiado F2. Próceres de Mayo y
Suecia.,San Vicente,0 days 00:54:00,3240
REP6,25/08/2020 10:53,25/08/2020 11:47,Accidental,Normal,Terminal intemperie averiado F2. Próceres de Mayo y
Suecia.,Pinoza,0 days 00:54:00,3240
REP6,25/08/2020 10:53,25/08/2020 11:47,Accidental,Normal,Terminal intemperie averiado F2. Próceres de Mayo y
Suecia.,Pirizal,0 days 00:54:00,3240
REP6,25/08/2020 11:51,25/08/2020 11:54,Accidental,Normal,Al efectuar maniobras.,San Vicente,0 days 00:03:00,180
REP6,25/08/2020 11:51,25/08/2020 11:54,Accidental,Normal,Al efectuar maniobras.,Pinoza,0 days 00:03:00,180
