PRIMARIO,FUERA DE SERVICIO,REPOSICION,TIPO DE EVENTO,ESTADO DEL CLIMA,OBSERVACION,BARRIO,DURACION,DURACION SEGS
PCA8,9/02/2020 18:15,9/02/2020 18:40,Accidental,Normal,Seccionador averiado. Inglaterra y Artigas.,Banco San Miguel,0 days 00:25:00,1500
PCA8,9/02/2020 18:15,9/02/2020 18:40,Accidental,Normal,Seccionador averiado. Inglaterra y Artigas.,Tablada Nueva,0 days 00:25:00,1500
PCA8,9/02/2020 18:15,9/02/2020 18:40,Accidental,Normal,Seccionador averiado. Inglaterra y Artigas.,Jara,0 days 00:25:00,1500
PCA8,18/02/2020 12:57,18/02/2020 16:09,Accidental,Normal,No establecido.,Banco San Miguel,0 days 03:12:00,11520
PCA8,18/02/2020 12:57,18/02/2020 16:09,Accidental,Normal,No establecido.,Tablada Nueva,0 days 03:12:00,11520
PCA8,18/02/2020 12:57,18/02/2020 16:09,Accidental,Normal,No establecido.,Jara,0 days 03:12:00,11520
PSA11,9/02/2020 08:46,9/02/2020 08:51,Accidental,Normal,Transformador averiado. Costado de la Escuela Colmán. Lado Cañada.,Bañado Tacumbu,0 days 00:05:00,300
PSA11,9/02/2020 08:46,9/02/2020 08:51,Accidental,Normal,Transformador averiado. Costado de la Escuela Colmán. Lado Cañada.,Sajonia,0 days 00:05:00,300
PSA3,16/02/2020 22:57,16/02/2020 23:05,Accidental,Adverso,"Abierto Interruptor, para efectuar reposición de SF en forma directa. Cnel. López e/ De La Conquista.",San Antonio,0 days 00:08:00,480
PSA3,16/02/2020 22:57,16/02/2020 23:05,Accidental,Adverso,"Abierto Interruptor, para efectuar reposición de SF en forma directa. Cnel. López e/ De La Conquista.",Dr. Gaspar Rodríguez de Francia,0 days 00:08:00,480
PSA5,22/02/2020 11:51,22/02/2020 12:03,Accidental,Normal,No establecido.,La Encarnación,0 days 00:12:00,720
PSA5,22/02/2020 11:51,22/02/2020 12:03,Accidental,Normal,No establecido.,San Antonio,0 days 00:12:00,720
PSA5,22/02/2020 11:51,22/02/2020 12:03,Accidental,Normal,No establecido.,Ita Pyta Punta,0 days 00:12:00,720
