,PRIMARIO,FUERA DE SERVICIO,REPOSICION,TIPO DE EVENTO,ESTADO DEL CLIMA,OBSERVACION,BARRIO,DURACION,DURACION SEGS
2,PSA5,2/04/2020 02:13,2/04/2020 03:32,Accidental,Normal,No establecido.,Ita Pyta Punta,0 days 01:19:00,4740
3,PSA5,2/04/2020 02:13,2/04/2020 03:32,Accidental,Normal,No establecido.,Dr. Gaspar Rodríguez de Francia,0 days 01:19:00,4740
0,PSA5,2/04/2020 09:40,2/04/2020 10:09,Accidental,Normal,1- Rama sobre línea MT y fusible operado F1. Tte.Rodi y Tte. Prieto. 2- Fusible operado. ComandanteGamarra y Dr. Insfrán.,La Encarnación,0 days 00:29:00,1740
1,PSA5,2/04/2020 09:40,2/04/2020 10:09,Accidental,Normal,1- Rama sobre línea MT y fusible operado F1. Tte.Rodi y Tte. Prieto. 2- Fusible operado. ComandanteGamarra y Dr. Insfrán.,San Antonio,0 days 00:29:00,1740
2,PSA5,2/04/2020 09:40,2/04/2020 10:09,Accidental,Normal,1- Rama sobre línea MT y fusible operado F1. Tte.Rodi y Tte. Prieto. 2- Fusible operado. ComandanteGamarra y Dr. Insfrán.,Ita Pyta Punta,0 days 00:29:00,1740
3,PSA5,2/04/2020 09:40,2/04/2020 10:09,Accidental,Normal,1- Rama sobre línea MT y fusible operado F1. Tte.Rodi y Tte. Prieto. 2- Fusible operado. ComandanteGamarra y Dr. Insfrán.,Dr. Gaspar Rodríguez de Francia,0 days 00:29:00,1740
0,PSA5,13/04/2020 17:18,13/04/2020 17:38,Accidental,Normal,No establecido.,La Encarnación,0 days 00:20:00,1200
1,PSA5,13/04/2020 17:18,13/04/2020 17:38,Accidental,Normal,No establecido.,San Antonio,0 days 00:20:00,1200
2,PSA5,13/04/2020 17:18,13/04/2020 17:38,Accidental,Normal,No establecido.,Ita Pyta Punta,0 days 00:20:00,1200
3,PSA5,13/04/2020 17:18,13/04/2020 17:38,Accidental,Normal,No establecido.,Dr. Gaspar Rodríguez de Francia,0 days 00:20:00,1200
0,PSA6,2/04/2020 02:13,2/04/2020 03:33,Accidental,Normal,No establecido.,San Antonio,0 days 01:20:00,4800
1,PSA6,2/04/2020 02:13,2/04/2020 03:33,Accidental,Normal,No establecido.,Ita Pyta Punta,0 days 01:20:00,4800
2,PSA6,2/04/2020 02:13,2/04/2020 03:33,Accidental,Normal,No establecido.,Dr. Gaspar Rodríguez de Francia,0 days 01:20:00,4800
0,PSA6,2/04/2020 04:23,2/04/2020 05:25,Accidental,Normal,Fusible operado en derivación. Isabel La Católica c/Tte. Guillermo Arias.,San Antonio,0 days 01:02:00,3720
1,PSA6,2/04/2020 04:23,2/04/2020 05:25,Accidental,Normal,Fusible operado en derivación. Isabel La Católica c/Tte. Guillermo Arias.,Ita Pyta Punta,0 days 01:02:00,3720
2,PSA6,2/04/2020 04:23,2/04/2020 05:25,Accidental,Normal,Fusible operado en derivación. Isabel La Católica c/Tte. Guillermo Arias.,Dr. Gaspar Rodríguez de Francia,0 days 01:02:00,3720
0,PSA6,26/04/2020 06:17,26/04/2020 07:14,Accidental,Normal,No establecido.,San Antonio,0 days 00:57:00,3420
1,PSA6,26/04/2020 06:17,26/04/2020 07:14,Accidental,Normal,No establecido.,Ita Pyta Punta,0 days 00:57:00,3420
2,PSA6,26/04/2020 06:17,26/04/2020 07:14,Accidental,Normal,No establecido.,Dr. Gaspar Rodríguez de Francia,0 days 00:57:00,3420
0,REP1,9/04/2020 03:03,9/04/2020 03:04,Producción,Normal,Cambio de configuración. CH-IPU/CH-YAC.,Dr. Roberto L. Petit,0 days 00:01:00,60
0,REP2,9/04/2020 03:03,9/04/2020 03:04,Producción,Normal,Cambio de configuración. CH-IPU/CH-YAC.,Republicano,0 days 00:01:00,60
1,REP2,9/04/2020 03:03,9/04/2020 03:04,Producción,Normal,Cambio de configuración. CH-IPU/CH-YAC.,Santa Librada,0 days 00:01:00,60
0,REP3,9/04/2020 03:03,9/04/2020 03:04,Producción,Normal,Cambio de configuración. CH-IPU/CH-YAC.,San Pablo,0 days 00:01:00,60
1,REP3,9/04/2020 03:03,9/04/2020 03:04,Producción,Normal,Cambio de configuración. CH-IPU/CH-YAC.,Obrero,0 days 00:01:00,60
2,REP3,9/04/2020 03:03,9/04/2020 03:04,Producción,Normal,Cambio de configuración. CH-IPU/CH-YAC.,San Vicente,0 days 00:01:00,60
3,REP3,9/04/2020 03:03,9/04/2020 03:04,Producción,Normal,Cambio de configuración. CH-IPU/CH-YAC.,Republicano,0 days 00:01:00,60
4,REP3,9/04/2020 03:03,9/04/2020 03:04,Producción,Normal,Cambio de configuración. CH-IPU/CH-YAC.,Santa Ana,0 days 00:01:00,60
5,REP3,9/04/2020 03:03,9/04/2020 03:04,Producción,Normal,Cambio de configuración. CH-IPU/CH-YAC.,Jukyty,0 days 00:01:00,60
6,REP3,9/04/2020 03:03,9/04/2020 03:04,Producción,Normal,Cambio de configuración. CH-IPU/CH-YAC.,Santa Librada,0 days 00:01:00,60
7,REP3,9/04/2020 03:03,9/04/2020 03:04,Producción,Normal,Cambio de configuración. CH-IPU/CH-YAC.,Pirizal,0 days 00:01:00,60
0,REP4,9/04/2020 03:03,9/04/2020 03:04,Producción,Normal,Cambio de configuración. CH-IPU/CH-YAC.,Hipódromo,0 days 00:01:00,60
0,REP5,9/04/2020 03:03,9/04/2020 03:04,Producción,Normal,Cambio de configuración. CH-IPU/CH-YAC.,Tte. Silvio Pettirossi,0 days 00:01:00,60
1,REP5,9/04/2020 03:03,9/04/2020 03:04,Producción,Normal,Cambio de configuración. CH-IPU/CH-YAC.,San Vicente,0 days 00:01:00,60
2,REP5,9/04/2020 03:03,9/04/2020 03:04,Producción,Normal,Cambio de configuración. CH-IPU/CH-YAC.,Pinoza,0 days 00:01:00,60
0,REP6,9/04/2020 03:03,9/04/2020 03:04,Producción,Normal,Cambio de configuración. CH-IPU/CH-YAC.,San Vicente,0 days 00:01:00,60
1,REP6,9/04/2020 03:03,9/04/2020 03:04,Producción,Normal,Cambio de configuración. CH-IPU/CH-YAC.,Pinoza,0 days 00:01:00,60
2,REP6,9/04/2020 03:03,9/04/2020 03:04,Producción,Normal,Cambio de configuración. CH-IPU/CH-YAC.,Pirizal,0 days 00:01:00,60
0,REP7,9/04/2020 03:03,9/04/2020 03:04,Producción,Normal,Cambio de configuración. CH-IPU/CH-YAC.,Tte. Silvio Pettirossi,0 days 00:01:00,60
1,REP7,9/04/2020 03:03,9/04/2020 03:04,Producción,Normal,Cambio de configuración. CH-IPU/CH-YAC.,San Vicente,0 days 00:01:00,60
2,REP7,9/04/2020 03:03,9/04/2020 03:04,Producción,Normal,Cambio de configuración. CH-IPU/CH-YAC.,Pinoza,0 days 00:01:00,60
0,REP9,9/04/2020 03:03,9/04/2020 03:04,Producción,Normal,Cambio de configuración. CH-IPU/CH-YAC.,Tte. Silvio Pettirossi,0 days 00:01:00,60
