,PRIMARIO,FUERA DE SERVICIO,REPOSICION,TIPO DE EVENTO,ESTADO DEL CLIMA,OBSERVACION,BARRIO,DURACION,DURACION SEGS
0,GDI3,29/09/2020 03:03,29/09/2020 03:05,Producción,Normal,Cambio de configuración.,Gral. J. E Diaz,0 days 00:02:00,120
0,GDI4,18/09/2020 07:22,18/09/2020 09:22,Accidental,Normal,No establecido.,Obrero,0 days 02:00:00,7200
1,GDI4,18/09/2020 07:22,18/09/2020 09:22,Accidental,Normal,No establecido.,Dr. Roberto L. Petit,0 days 02:00:00,7200
2,GDI4,18/09/2020 07:22,18/09/2020 09:22,Accidental,Normal,No establecido.,Bañado Tacumbu,0 days 02:00:00,7200
0,GDI4,29/09/2020 03:03,29/09/2020 03:05,Producción,Normal,Cambio de configuración.,Obrero,0 days 00:02:00,120
1,GDI4,29/09/2020 03:03,29/09/2020 03:05,Producción,Normal,Cambio de configuración.,Dr. Roberto L. Petit,0 days 00:02:00,120
2,GDI4,29/09/2020 03:03,29/09/2020 03:05,Producción,Normal,Cambio de configuración.,Bañado Tacumbu,0 days 00:02:00,120
0,GDI4,30/09/2020 13:20,30/09/2020 15:34,Accidental,Adverso,Condiciones Climáticas Adversas.,Obrero,0 days 02:14:00,8040
1,GDI4,30/09/2020 13:20,30/09/2020 15:34,Accidental,Adverso,Condiciones Climáticas Adversas.,Dr. Roberto L. Petit,0 days 02:14:00,8040
2,GDI4,30/09/2020 13:20,30/09/2020 15:34,Accidental,Adverso,Condiciones Climáticas Adversas.,Bañado Tacumbu,0 days 02:14:00,8040
0,GDI4,30/09/2020 15:54,30/09/2020 21:31,Accidental,Adverso,Ramas sobre Línea MT. México e/ 24 y 25Proyectadas.,Obrero,0 days 05:37:00,20220
1,GDI4,30/09/2020 15:54,30/09/2020 21:31,Accidental,Adverso,Ramas sobre Línea MT. México e/ 24 y 25Proyectadas.,Dr. Roberto L. Petit,0 days 05:37:00,20220
