PRIMARIO,FUERA DE SERVICIO,REPOSICION,TIPO DE EVENTO,ESTADO DEL CLIMA,OBSERVACION,BARRIO,DURACION,DURACION SEGS
PSA12,7/03/2020 23:10,7/03/2020 23:12,Accidental,Normal,"Abierto Interruptor, para efectuar reposición de SF. 5ta. y México.",Carlos A. López,0 days 00:02:00,120
PSA12,9/03/2020 23:47,10/03/2020 00:12,Accidental,Normal,No establecido.,Carlos A. López,0 days 00:25:00,1500
PSA12,10/03/2020 01:00,10/03/2020 01:02,Accidental,Normal,Al efectuar maniobras.,Carlos A. López,0 days 00:02:00,120
PSA12,10/03/2020 01:12,10/03/2020 01:14,Accidental,Normal,Línea MT Suelta en Cap. Gwynn y Gobernador Irala. Cap. Gwynn y Diaz de Guzmán.,Carlos A. López,0 days 00:02:00,120
PSA12,10/03/2020 02:25,10/03/2020 03:10,Accidental,Normal,"Abierto Interruptor, para efectuar reparación de Línea MT Suelta.",Carlos A. López,0 days 00:45:00,2700
PSA12,13/03/2020 10:17,13/03/2020 10:21,Producción,Normal,Cambio de Fuente.,Carlos A. López,0 days 00:04:00,240
PSA12,27/03/2020 03:05,27/03/2020 03:07,Producción,Normal,Cambio de Fuente CH-YAC/CH-IPU.,Carlos A. López,0 days 00:02:00,120
PSA3,13/03/2020 10:17,13/03/2020 10:21,Producción,Normal,Cambio de Fuente.,San Antonio,0 days 00:04:00,240
PSA3,13/03/2020 10:17,13/03/2020 10:21,Producción,Normal,Cambio de Fuente.,Dr. Gaspar Rodríguez de Francia,0 days 00:04:00,240
PSA3,27/03/2020 03:05,27/03/2020 03:07,Producción,Normal,Cambio de Fuente CH-YAC/CH-IPU.,San Antonio,0 days 00:02:00,120
PSA3,27/03/2020 03:05,27/03/2020 03:07,Producción,Normal,Cambio de Fuente CH-YAC/CH-IPU.,Dr. Gaspar Rodríguez de Francia,0 days 00:02:00,120
PSA4,10/03/2020 04:10,10/03/2020 04:17,Accidental,Normal,No establecido.,Ita Pyta Punta,0 days 00:07:00,420
PSA4,10/03/2020 19:40,10/03/2020 20:00,Accidental,Normal,Pérdida de aislación. PE VENDOME.,Ita Pyta Punta,0 days 00:20:00,1200
