,PRIMARIO,FUERA DE SERVICIO,REPOSICION,TIPO DE EVENTO,ESTADO DEL CLIMA,OBSERVACION,BARRIO,DURACION,DURACION SEGS
0,BPA2,26/10/2020 01:44,26/10/2020 03:23,Accidental,Adverso,Condiciones Climáticas Adversas.,Manorá,0 days 01:39:00,5940
1,BPA2,26/10/2020 01:44,26/10/2020 03:23,Accidental,Adverso,Condiciones Climáticas Adversas.,Ykua Sati,0 days 01:39:00,5940
0,BPA4,14/10/2020 01:44,14/10/2020 02:29,Accidental,Normal,Tramo subterráneo averiado. Primer tramo averiado.,Luis Alberto de Herrera,0 days 00:45:00,2700
1,BPA4,14/10/2020 01:44,14/10/2020 02:29,Accidental,Normal,Tramo subterráneo averiado. Primer tramo averiado.,San Cristóbal,0 days 00:45:00,2700
2,BPA4,14/10/2020 01:44,14/10/2020 02:29,Accidental,Normal,Tramo subterráneo averiado. Primer tramo averiado.,Santa María,0 days 00:45:00,2700
0,BPA6,26/10/2020 01:38,26/10/2020 10:20,Accidental,Adverso,Condiciones Climáticas Adversas.,Itay,0 days 08:42:00,31320
1,BPA6,26/10/2020 01:38,26/10/2020 10:20,Accidental,Adverso,Condiciones Climáticas Adversas.,Ykua Sati,0 days 08:42:00,31320
2,BPA6,26/10/2020 01:38,26/10/2020 10:20,Accidental,Adverso,Condiciones Climáticas Adversas.,San Jorge,0 days 08:42:00,31320
0,BPA8,24/10/2020 01:57,24/10/2020 03:12,Accidental,Normal,Fusible Operado. Del Maestro y Rivarola.,Villa Morra,0 days 01:15:00,4500
0,BPA8,26/10/2020 01:56,26/10/2020 03:56,Accidental,Adverso,Condiciones Climáticas Adversas.,Villa Morra,0 days 02:00:00,7200
0,CEN6,17/10/2020 09:03,17/10/2020 09:56,Accidental,Normal,Línea subterránea averiada. 14 de Mayo e/ Palma yEstrella.,La Encarnación,0 days 00:53:00,3180
1,CEN6,17/10/2020 09:03,17/10/2020 09:56,Accidental,Normal,Línea subterránea averiada. 14 de Mayo e/ Palma yEstrella.,La Catedral,0 days 00:53:00,3180
0,FDM2,14/10/2020 15:02,14/10/2020 17:02,Accidental,Adverso,Vientos fuertes.,San Pablo,0 days 02:00:00,7200
0,FDM2,14/10/2020 19:22,14/10/2020 20:06,Accidental,Adverso,Vientos fuertes.,San Pablo,0 days 00:44:00,2640
